group_code,group_name,group_descreption
736,Banking Assistant With Commerce,"Commerce, Theory, Practical I, Practical II"
737,Business Management Small Industries,"Commerce, Theory, Practical I, Practical II"
738,Co-Operative Management With Commerce,"Commerce, Theory, Practical I, Practical II"
739,Maint.&Servicing Elecl.Machines.(Incl.Generators),"Mathematics, Theory, Practical I, Practical II"
741,Material Management,"Commerce, Theory, Practical I, Practical II"
742,Marketing And Salesmanship,"Commerce, Theory, Practical I, Practical II"
743,Office Secretaryship - With Shorthand,"Commerce, Practical-Typewriting, Theory-Office Management, Practical-Shorthand"
744,Office Secretaryship With Accountancy,"Commerce, Accountancy, Practical-Typewriting, Theory-Office Management"
745,Accountancy And Auditing,"Commerce, Theory, Practical I, Practical II"
746,Banking Assistant With Accountancy,"Accountancy, Theory, Practical I, Practical II"
747,Building Maintenance,"Mathematics, Theory, Practical I, Practical II"
748,Domestic Electronic And Projection Equipment,"Physics, Theory, Practical I, Practical II"
749,Radio & Tv Maintenance & Repairs With Physics,"Physics, Theory, Practical I, Practical II"
750,Textile Technology,"Mathematics, Theory, Practical I, Practical II"
751,Leather Technology,"Chemistry, Theory, Practical I, Practical II"
752,Textile Technology,"Chemistry, Theory, Practical I, Practical II"
753,Auto Mechanic,"Mathematics, Theory, Practical I, Practical II"
754,Dental Hygienists With Physics,"Physics, Foundation Science, Theory, Practical"
755,Dental Mechanic,"Physics, Foundation Science, Theory, Practical"
756,Techl.Asst.Course-Sports&Games With Accountancy,"Commerce, Accountancy, Theory, Practical I"
757,Hospital House-Keeping With Physics,"Physics, Foundation Science, Theory, Practical"
758,Hospital House-Keeping With Chemistry,"Chemistry, Foundation Science, Theory, Practical"
759,Medical Laboratory Assistant With Physics,"Physics, Foundation Science, Theory, Practical"
760,Medical Laboratory Assistant With Chemistry,"Chemistry, Foundation Science, Theory, Practical"
761,Nursing Course With Physics,"Physics, Foundation Science, Theory, Practical"
762,Nursing Course With Chemistry,"Chemistry, Foundation Science, Theory, Practical"
763,Opthalmic Technician,"Physics, Foundation Science, Theory, Practical"
764,Business Machines & Computer Programming,"Mathematics, Practical-Typewriting, Theory, Practical"
765,Repairs And Maintenance Of Two Wheelers,"Mathematics, Theory, Practical I, Practical II"
766,Tractor Repairs And Maintenance,"Mathematics, Theory, Practical I, Practical II"
768,Letter Press Printing,"Chemistry, Theory, Practical I, Practical II"
769,Co-Operative Management With Geography,"Geography, Theory, Practical I, Practical II"
770,Fisheries,"Biology, Theory, Practical I, Practical II"
771,Draftsman(Mechanical),"Mathematics, Theory, Practical I, Practical II"
772,Draftsman(Civil),"Mathematics, Theory, Practical I, Practical II"
773,Electrical Domestic Appliances,"Mathematics, Theory, Practical I, Practical II"
774,Electrical Motor Re-Winding With Mathematics,"Mathematics, Theory, Practical I, Practical II"
775,General Machinist,"Mathematics, Theory, Practical I, Practical II"
776,Maintenance And Servicing Textile Machinery,"Physics, Theory, Practical I, Practical II"
777,Electrical Motor Re-Winding With Physics,"Physics, Theory, Practical I, Practical II"
778,Refrigeration And Air Conditioning Equipment,"Mathematics, Theory, Practical I, Practical II"
779,Foundry,"Mathematics, Theory, Practical I, Practical II"
780,Welding,"Mathematics, Theory, Practical I, Practical II"
781,Fitting,"Mathematics, Theory, Practical I, Practical II"
782,Letter Press Printing,"Mathematics, Theory, Practical I, Practical II"
783,Foundry Technology,"Mathematics, Theory, Practical I, Practical II"
784,Photography,"Physics, Theory, Practical I, Practical II"
785,Music With Home Science,"Home Science, Theory, Practical I, Practical II"
786,Music With Indian Culture,"Indian Culture, Theory, Practical I, Practical II"
787,Music With Adv. Languages,"Advanced Language, Theory, Practical I, Practical II"
789,Composing & Printing Technology With Adv. Language,"Advanced Language, Theory, Practical I, Practical II"
790,Music With Chemistry,"Chemistry, Theory, Practical I, Practical II"
791,Lithographic Printing,"Chemistry, Theory, Practical I, Practical II"
792,Techl.Asst.Course-Sports&Games With Economics,"Economics, Commerce, Theory, Practical I"
793,Nutritious Meal Organiser,"Chemistry, Home Science, Theory, Practical"
794,House-Keeper,"Chemistry, Home Science, Theory, Practical"
795,Insurance,"Commerce, Theory, Practical I, Practical II"
796,Composing & Printing Technology With Physics & Chemistry,"Physics, Chemistry, Theory, Practical I"
797,Radio & TV Maintenance & Repairs With Mathematics,"Mathematics, Theory, Practical I, Practical II"
798,Maint.&Servicing Textile Machinery,"Mathematics, Theory, Practical I, Practical II"
799,Genereal Machinist,"Physics, Theory, Practical I, Practical II"
421,General Machinist,"Mathematics, Theory, Practical I, Practical II"
422,Electrical Machines And Appliances,"Mathematics, Theory, Practical I, Practical II"
423,Electronic Equipments,"Mathematics, Theory, Practical I, Practical II"
424,Draughtsman Civil,"Mathematics, Theory, Practical I, Practical II"
425,Auto Mechanic,"Mathematics, Theory, Practical I, Practical II"
426,Textile Technology,"Mathematics, Theory, Practical I, Practical II"
431,Nursing,"Biology, Theory, Practical I, Practical II"
441,Textiles And Dress Designing,"Home Science, Theory, Practical I, Practical II"
442,Food Management And Child Care,"Home Science, Theory, Practical I, Practical II"
451,Agricultural Practicals,"Biology, Theory, Practical I, Practical II"
461,Office Secretary Ship,"Commerce, Accountancy, Theory, Typewriting"
462,Accountancy & Auditing,"Commerce, Theory, Practical I, Practical II"
